premise	hypothesis	label
Aurreko kapituluan adierazi den bezala, alboko posiblerako sarreran elkarrekintzaren batek egon behar du, galtzaileak baztertzeko hautespen naturalaren gaitasunaren biartez asploratzeko aukera ematen duena.	Hautespen naturala beti gertatzen da.	1
Aurreko kapituluan adierazi den bezala, alboko posiblerako sarreran elkarrekintzaren batek egon behar du, galtzaileak baztertzeko hautespen naturalaren gaitasunaren biartez asploratzeko aukera ematen duena.	Ez dago elkarrekintzarik.	2
Aurreko kapituluan adierazi den bezala, alboko posiblerako sarreran elkarrekintzaren batek egon behar du, galtzaileak baztertzeko hautespen naturalaren gaitasunaren biartez asploratzeko aukera ematen duena.	Elkarrekintzaren bat egon behar du.	0
Pachuca 1940ko hamarkadako pachucoaren kidea izan zen, baina baita hiri ingurune ghettifikatu batean hazten den chicana gazteak gorpuzten duen auzoko neskaren arketipoa ere.	Pachukak bizikletak ziren.	2
Pachuca 1940ko hamarkadako pachucoaren kidea izan zen, baina baita hiri ingurune ghettifikatu batean hazten den chicana gazteak gorpuzten duen auzoko neskaren arketipoa ere.	Pachukak txikana gazteak ziren.	0
Pachuca 1940ko hamarkadako pachucoaren kidea izan zen, baina baita hiri ingurune ghettifikatu batean hazten den chicana gazteak gorpuzten duen auzoko neskaren arketipoa ere.	Pachucasek makillaje handia zuen.	1
Bestalde, partikulak eta hiru indar ez-grabitazionalak oraindik ez dira txertatu spin sarearen irudi batean.	Indar ez grabitazionalak txertatu egin behar dira, spin sarearen irudia osatzeko.	1
Bestalde, partikulak eta hiru indar ez-grabitazionalak oraindik ez dira txertatu spin sarearen irudi batean.	Partikulak txertatuta zeuden jada.	2
Bestalde, partikulak eta hiru indar ez-grabitazionalak oraindik ez dira txertatu spin sarearen irudi batean.	Hiru indar ez grabitazional daude.	0
Vaquero kulturaren eta Mexikoko sonorarren eraginaren arrastoa dela eta, ezagutu ez ohi den chicano kulturaren zati bat erakusten dute.	Chicano asko vaqueroen oinordekoak dira.	1
Vaquero kulturaren eta Mexikoko sonorarren eraginaren arrastoa dela eta, ezagutu ez ohi den chicano kulturaren zati bat erakusten dute.	Vaquero kultura chicano kulturarekin lotuta dago.	0
Vaquero kulturaren eta Mexikoko sonorarren eraginaren arrastoa dela eta, ezagutu ez ohi den chicano kulturaren zati bat erakusten dute.	Vaqueroak eta Mexikoko sonorarrek ez dute zerikusirik chicanoko kulturarekin.	2
Dennettek izaki darwindar, pavlovtar, poppertar eta gregoriarrak bereizten ditu.	Dennettek uste du izaki darwindar, pavlovtar, poppertar eta gregoriarrak berdin-berdinak direla.	2
Dennettek izaki darwindar, pavlovtar, poppertar eta gregoriarrak bereizten ditu.	Dennettek desberdintasunak ikusten ditu izaki darwindar, pavlovtar, poppertar eta gregoriarren artean.	0
Dennettek izaki darwindar, pavlovtar, poppertar eta gregoriarrak bereizten ditu.	Dennettek nahiago ditu izaki darwindarrak.	1
Orekatik desbideratze soil bat da, eta gailu soil bat, mika maluta, astindu egingo da, lan mekanikoa erauzteko.	Zerbait desbideratu egin da orekatik.	0
Orekatik desbideratze soil bat da, eta gailu soil bat, mika maluta, astindu egingo da, lan mekanikoa erauzteko.	Mika maluta gailu konplexua da.	2
Orekatik desbideratze soil bat da, eta gailu soil bat, mika maluta, astindu egingo da, lan mekanikoa erauzteko.	Desbideratze tasa handia da.	1
Ikertzaileen galderei erantzunez, askotan esaten dute lehenengo hilabeteetatik beren buruaz aski izateko trebatu behar direla haurtxoak.	Haurtxoak beren kabuz elikatu behar direla diote.	1
Ikertzaileen galderei erantzunez, askotan esaten dute lehenengo hilabeteetatik beren buruaz aski izateko trebatu behar direla haurtxoak.	Haurtxoek independenteak izan behar dutela diote.	0
Ikertzaileen galderei erantzunez, askotan esaten dute lehenengo hilabeteetatik beren buruaz aski izateko trebatu behar direla haurtxoak.	Esaten dute geratzen diren haurtxoak beren amaren mende daudela 21 bete arte.	2
Non dago balioa egitateen mundu batean?	Munduak egitateekin funtzionatzen du.	0
Non dago balioa egitateen mundu batean?	Egitateak ez dira maneiatzen.	2
Non dago balioa egitateen mundu batean?	Ez dugu zerbait egitate bat ez den beste ezer maneiatu nahi.	1
1868rako eta Hamalaugarren Zuzenketa indarrean jartzerako, iraultza konstituzional baten atarian geunden.	Hamalaugarren Zuzenketa bi botoz bakarrik onetsi zen, negoziazio luzeen ondoren.	1
1868rako eta Hamalaugarren Zuzenketa indarrean jartzerako, iraultza konstituzional baten atarian geunden.	Hamalaugarren Zuzenketa 1868an onetsi zen.	0
1868rako eta Hamalaugarren Zuzenketa indarrean jartzerako, iraultza konstituzional baten atarian geunden.	Konstituzioa beti izan da oso egonkorra eta inoiz ez du benetako krisirik izan.	2
Interesgarria da ezaugarri bera ager daitekeela ekonomia osoan.	Ez da harritzekoa ezaugarri bera ez izatea mikroekonomian.	2
Interesgarria da ezaugarri bera ager daitekeela ekonomia osoan.	Merezi du esatea ezaugarri bera ager daitekeela ekonomia osoan.	0
Interesgarria da ezaugarri bera ager daitekeela ekonomia osoan.	Batzuek interesgarritzat jotzen dute ekonomia digitalaren sektorean ezaugarri bera ager daitekeela.	1
Teotihuacanen piramideetatik hurbil dagoen San Agustin Acolman herri txikian sortu ziren.	San Agustin Acolmanek 1.000 biztanle baino gutxiago ditu.	1
Teotihuacanen piramideetatik hurbil dagoen San Agustin Acolman herri txikian sortu ziren.	San Augustin Acolman Ingalaterrako hiri handi bat da.	2
Teotihuacanen piramideetatik hurbil dagoen San Agustin Acolman herri txikian sortu ziren.	San Augustin Acolman Teotihuacanetik gertu dagoen herri bat da.	0
Izan ere, egia esan, eraikin batek, ez du axola zeinen erabilgarria, ondo eraikia edo ederra den, ez badator bat jendeak janzteko moduarekin, arriskua du ez soilik itxura anakronikoa izateko, baizik eta erabat inozoa.	Eraikin bat ederra izan daiteke, baina baliorik gabea.	2
Izan ere, egia esan, eraikin batek, ez du axola zeinen erabilgarria, ondo eraikia edo ederra den, ez badator bat jendeak janzteko moduarekin, arriskua du ez soilik itxura anakronikoa izateko, baizik eta erabat inozoa.	Eraikin bat ezin da ederra izan erabilgarria ez bada.	0
Izan ere, egia esan, eraikin batek, ez du axola zeinen erabilgarria, ondo eraikia edo ederra den, ez badator bat jendeak janzteko moduarekin, arriskua du ez soilik itxura anakronikoa izateko, baizik eta erabat inozoa.	Eraikin bat ezin da polita izan pertsona ezinduak ezin badira bertara sartu.	1
Esan nahi dut komunitate hori osatzen duten agente autonomoek, bakarka nahiz taldean, beren mundua osatzen zuten joko naturaletan bizimodua egiteko jakintza zutela.	Komunitateko agenteek bizia irabaz zezaketen.	0
Esan nahi dut komunitate hori osatzen duten agente autonomoek, bakarka nahiz taldean, beren mundua osatzen zuten joko naturaletan bizimodua egiteko jakintza zutela.	Agenteek 80.000 $ irabazten zituzten.	1
Esan nahi dut komunitate hori osatzen duten agente autonomoek, bakarka nahiz taldean, beren mundua osatzen zuten joko naturaletan bizimodua egiteko jakintza zutela.	Agenteek ez zuten lortzen ordain ziezaieten.	2
Askotan, fontanela hondoratzea senda dezakeen pertsona bakarra petrikiloa da.	Petrikiloek ere gripea sendatzen dute.'	1
Askotan, fontanela hondoratzea senda dezakeen pertsona bakarra petrikiloa da.	Petrikiloak zirkoko pailazoak dira.	2
Askotan, fontanela hondoratzea senda dezakeen pertsona bakarra petrikiloa da.	Petrikiloek, sarritan, fontanela hondoratua senda dezakete.	0
Mexikoko folk musikan, rantxera maitasun kanta bat da, jende arruntak kantatua, landa eremuko nekazariek.	Mexikon nekazariek abestutako maitasun kantak dira rantxerak.	0
Mexikoko folk musikan, rantxera maitasun kanta bat da, jende arruntak kantatua, landa eremuko nekazariek.	Rantxerak gehienbat emakumeek kantatzen dituzte.	1
Mexikoko folk musikan, rantxera maitasun kanta bat da, jende arruntak kantatua, landa eremuko nekazariek.	Rantxerak labezomorro izurriei buruzkoak bakarrik dira.	2
Bigarren puntu harrigarria Omnesen baieztapena da, gauza behagarri batzuk ezin direla behatu.	Omnesek esan zuen dena ikus dezakezula.	2
Bigarren puntu harrigarria Omnesen baieztapena da, gauza behagarri batzuk ezin direla behatu.	Omnesek esan zuen ezin dela aldaketarik ikusi gizartean.	1
Bigarren puntu harrigarria Omnesen baieztapena da, gauza behagarri batzuk ezin direla behatu.	Omnesek esan zuen ezin dituzula gauza batzuk ikusi.	0
Konstituzio Sekretua Estatu Batuetako politikan indarra hartzen ari zenez, serioski hartu zen Hamabosgarren Zuzenketaren promesa ere.	Hamabosgarren zuzenketa berehala baliogabetu zen, eta ez zen inoiz onartu.	2
Konstituzio Sekretua Estatu Batuetako politikan indarra hartzen ari zenez, serioski hartu zen Hamabosgarren Zuzenketaren promesa ere.	Hamabosgarren zuzenketa serioago hartu zen Konstituzio Sekretua indarra hartzen hasi zenean.	0
Konstituzio Sekretua Estatu Batuetako politikan indarra hartzen ari zenez, serioski hartu zen Hamabosgarren Zuzenketaren promesa ere.	Konstituzio Sekretua konstituzio arrunta bezalakoa da, baina tinta ikusezinez idatzia.	1
Aritmetika egin arte, ez zaitez ohartu Lincolnen buruan 1776 izan zela fundazioaren une kritikoa, Independentzia Deklarazioa sinatzea.	Lincolnek uste zuen nazioa benetan lehen presidentea hautatu ondoren fundatzen zela.	2
Aritmetika egin arte, ez zaitez ohartu Lincolnen buruan 1776 izan zela fundazioaren une kritikoa, Independentzia Deklarazioa sinatzea.	Lincolnek uste zuen Independentzia Adierazpenaren sinadurak ezarri zuela fundazioaren mugarria.	0
Aritmetika egin arte, ez zaitez ohartu Lincolnen buruan 1776 izan zela fundazioaren une kritikoa, Independentzia Deklarazioa sinatzea.	Historialari asko ez daude ados Lincolnen egun horietako interpretazioarekin.	1
Hala ere, Hooden RCA eraikina Gropiusen Pan Am eraikinarekin (gaur egun MetLife) alderatzen badut, ez dago zalantzarik diseinatzaile sortzaileena nor izan zen.	Hood's RCA Buildingek diseinatzaile sortzaileagoa zuen.	1
Hala ere, Hooden RCA eraikina Gropiusen Pan Am eraikinarekin (gaur egun MetLife) alderatzen badut, ez dago zalantzarik diseinatzaile sortzaileena nor izan zen.	Hooden RCA eraikina Gropiusen Pan Am eraikinarekin konparatzen ari dira.	0
Hala ere, Hooden RCA eraikina Gropiusen Pan Am eraikinarekin (gaur egun MetLife) alderatzen badut, ez dago zalantzarik diseinatzaile sortzaileena nor izan zen.	Eraikin batek ere ez zuen diseinatzaile sortzailerik.	2
Hego mendebaldean oraindik kantatzen diren bi erromantze oso zahar dira La delgadina, intzestuari buruzkoa, eta La aparicien, Espainian XV. mendean agertu zena.	La delgadina erabat desagertu da.	2
Hego mendebaldean oraindik kantatzen diren bi erromantze oso zahar dira La delgadina, intzestuari buruzkoa, eta La aparicien, Espainian XV. mendean agertu zena.	La delgadina oraindik kantatzen da New Mexikon.	1
Hego mendebaldean oraindik kantatzen diren bi erromantze oso zahar dira La delgadina, intzestuari buruzkoa, eta La aparicien, Espainian XV. mendean agertu zena.	La delgadina hego mendebaldean kantatzen da oraindik.	0
Arrazoi beragatik, kontsumitzaile aldaberekin, salmenta denboraldi ugariekin eta merkatu segmentatuekin lotutako arrisku globalak, atzerriko lehia gogorrarekin batera, borroka zaila ekarri die AEBetako txikizkariei eta fabrikatzaileei.	Estatu Batuetako txikizkarien % 90 porrot egiten ari dira.	1
Arrazoi beragatik, kontsumitzaile aldaberekin, salmenta denboraldi ugariekin eta merkatu segmentatuekin lotutako arrisku globalak, atzerriko lehia gogorrarekin batera, borroka zaila ekarri die AEBetako txikizkariei eta fabrikatzaileei.	Estatu Batuetako txikizkariak goraldi betean daude une honetan.	2
Arrazoi beragatik, kontsumitzaile aldaberekin, salmenta denboraldi ugariekin eta merkatu segmentatuekin lotutako arrisku globalak, atzerriko lehia gogorrarekin batera, borroka zaila ekarri die AEBetako txikizkariei eta fabrikatzaileei.	Zaila da Estatu Batuetako txikizkarientzat ondo ibiltzea.	0
Sonja haurra aieneka ari zen Meredithen ohiko moduan aztalka egin bitartean.	Meredithen alaba Sonjak negar eta aztalka egin zuen.	1
Sonja haurra aieneka ari zen Meredithen ohiko moduan aztalka egin bitartean.	Sonjak histerikoki egin zuen negar, Meredithen ohiko moduan zilipurdika ibili bitartean.	0
Sonja haurra aieneka ari zen Meredithen ohiko moduan aztalka egin bitartean.	Sonjak, emakume zaharrak, zakar zirudien, baina Meredithen aurrean jarrera ona mantendu zuen.	2
The Quad esaten dioten ikasle egoitza baten ondoan dago, egoitza jakobtar gune bitxia da, hainbat patioren inguruan planifikatua.	The Quad ile apaindegi bat da.	2
The Quad esaten dioten ikasle egoitza baten ondoan dago, egoitza jakobtar gune bitxia da, hainbat patioren inguruan planifikatua.	Quad ikasle egoeitza misto bat da.	1
The Quad esaten dioten ikasle egoitza baten ondoan dago, egoitza jakobtar gune bitxia da, hainbat patioren inguruan planifikatua.	Quad ikasle egoitza bat da.	0
Besteek ez dute kontsumitzailea behar bezain zoriontsu egiten.	Beisboleko pilotak ez dira behar bezain zuriak.	1
Besteek ez dute kontsumitzailea behar bezain zoriontsu egiten.	Besteak gaizki ari dira lanean.'	0
Besteek ez dute kontsumitzailea behar bezain zoriontsu egiten.	Besteak nahikoak dira.	2
Gure simulaziotik atera beharreko ondorio nagusia da ziklo autokatalitiko eta lan ziklo bat edo gehiago bateratzen dituzten agente autonomoak direla orekarik gabeko erreakzio kimiko irekiko sareen oso modu arrazoizkoa direla, berritzailea izan arren.	Gure simulaziotik ondorio bat atera dezakegu.	0
Gure simulaziotik atera beharreko ondorio nagusia da ziklo autokatalitiko eta lan ziklo bat edo gehiago bateratzen dituzten agente autonomoak direla orekarik gabeko erreakzio kimiko irekiko sareen oso modu arrazoizkoa direla, berritzailea izan arren.	Ordenagailuan egindako simulaziotik ondorio bat atera dezakegu.	1
Gure simulaziotik atera beharreko ondorio nagusia da ziklo autokatalitiko eta lan ziklo bat edo gehiago bateratzen dituzten agente autonomoak direla orekarik gabeko erreakzio kimiko irekiko sareen oso modu arrazoizkoa direla, berritzailea izan arren.	Ezin dugu ondoriorik atera.	2
Ondorioz, elur jausien tamaina banaketa bereizgarria dagoela erregimen antolatuan, eta banaketa oso desberdina erregimen kaotikoan.	Erregimena iparraldean dago.	1
Ondorioz, elur jausien tamaina banaketa bereizgarria dagoela erregimen antolatuan, eta banaketa oso desberdina erregimen kaotikoan.	Elur jausiak daude erregimenean.	0
Ondorioz, elur jausien tamaina banaketa bereizgarria dagoela erregimen antolatuan, eta banaketa oso desberdina erregimen kaotikoan.	Ez dago elur jausirik erregimenean.	2
Adobezko adreiluak buztinez eta hareaz egindako nahasketa batez eginda daude; batzuetan, lokatz-lastoa deitzen zaio, eta pixkanaka lehortzen dira eguzkiaren berotan.	Adobezko adreiluak leku bero eta lehorretan egin behar dira.	1
Adobezko adreiluak buztinez eta hareaz egindako nahasketa batez eginda daude; batzuetan, lokatz-lastoa deitzen zaio, eta pixkanaka lehortzen dira eguzkiaren berotan.	Lokatza ez da inoiz erabiltzen adobezko adreiluak egiteko.	2
Adobezko adreiluak buztinez eta hareaz egindako nahasketa batez eginda daude; batzuetan, lokatz-lastoa deitzen zaio, eta pixkanaka lehortzen dira eguzkiaren berotan.	Lokatz-lasto bustiaa adobezko adreiluak egiteko erabiltzen da.	0
Herritarren pribilegioak eta immunitateak ordena berriaren balio nagusitzat hartzeak, Blackek egiten duen bezala, legearen araberako berdintasun arazoak sortzen ditu.	Gobernuak herritarrei beren pribilegioak ken diezazkie.	1
Herritarren pribilegioak eta immunitateak ordena berriaren balio nagusitzat hartzeak, Blackek egiten duen bezala, legearen araberako berdintasun arazoak sortzen ditu.	Herritarrei beren pribilegioak ken dakizkieke.	0
Herritarren pribilegioak eta immunitateak ordena berriaren balio nagusitzat hartzeak, Blackek egiten duen bezala, legearen araberako berdintasun arazoak sortzen ditu.	Herritarrek beren eskubideak inoiz ezin dituzte galdu.	2
Askotan, lehen horma irudi horiek arte herrikoitzat jotzen ziren.	Orduko kritikariek horma irudiak arte herrikoi gisa deskribatzen zituzten.	1
Askotan, lehen horma irudi horiek arte herrikoitzat jotzen ziren.	Lehen eskulturak jainkoen artetzat jotzen ziren maiz.	2
Askotan, lehen horma irudi horiek arte herrikoitzat jotzen ziren.	Antzinako horma irudiei arte herrikoi deitzen zitzaien.	0
Aldaera batzuetan, neska gazte batek erlijio sinesmenak hausten ditu Ostiral Santuan, egun erlijioso santuan, dantza egitera joan daitezen esanez, chicano katolikoentzat otoitzerako egun berezia baita.	Neska batek Ostiral Santuan dantza egin nahi zuen.	0
Aldaera batzuetan, neska gazte batek erlijio sinesmenak hausten ditu Ostiral Santuan, egun erlijioso santuan, dantza egitera joan daitezen esanez, chicano katolikoentzat otoitzerako egun berezia baita.	Neskak bazekien elizara joan besterik ezin zuela egin.	2
Aldaera batzuetan, neska gazte batek erlijio sinesmenak hausten ditu Ostiral Santuan, egun erlijioso santuan, dantza egitera joan daitezen esanez, chicano katolikoentzat otoitzerako egun berezia baita.	Nesken gurasoek zigortu egin zuten Ostiral Santuan dantza egiteagatik.	1
Plana sorgailua da, Le Corbusierrek zioenez, baina, Gehryrekin, plana emaitza da.	Plana garrantzitsua da.	0
Plana sorgailua da, Le Corbusierrek zioenez, baina, Gehryrekin, plana emaitza da.	Plana ez da garrantzitsua.	2
Plana sorgailua da, Le Corbusierrek zioenez, baina, Gehryrekin, plana emaitza da.	Plana herrialde bat inbaditzea da.	1
Suzko armak eta bestelako armak kategoria honetan sartzen dira.	Suzko armak arma gisa sailkatuta daude.	1
Suzko armak eta bestelako armak kategoria honetan sartzen dira.	Armak kategoria batean daude.	0
Suzko armak eta bestelako armak kategoria honetan sartzen dira.	Armak ez daude kategoria batean.	2
Jaialdia hiru-lau egunez egiten da, eta hainbat bataila egiten dira Gurutze Santua irabazteko.	Astebetean egiten da jaialdia.	0
Jaialdia hiru-lau egunez egiten da, eta hainbat bataila egiten dira Gurutze Santua irabazteko.	Jaialdia Italian da.	1
Jaialdia hiru-lau egunez egiten da, eta hainbat bataila egiten dira Gurutze Santua irabazteko.	Jaialdia ez da erlijiosoa.	2
Pentsa dezagun, beraz, legeen eta kontratuen rolean, haien mugek ahalbidetu egiten dute jarduera ekonomikoen fluxu lotua jarduera korridore jakinetatik.	Legeak eta ekonomia ez daude elkarrekin lotuta.	2
Pentsa dezagun, beraz, legeen eta kontratuen rolean, haien mugek ahalbidetu egiten dute jarduera ekonomikoen fluxu lotua jarduera korridore jakinetatik.	Legeek helburu bat dute.	0
Pentsa dezagun, beraz, legeen eta kontratuen rolean, haien mugek ahalbidetu egiten dute jarduera ekonomikoen fluxu lotua jarduera korridore jakinetatik.	Lege fiskalek helburu bat dute.	1
Berdintasunak ez du esan nahi berberak, berdin-berdinak edo antzekoak izatea.	Berdinak ez dira elkarren tankerakoak dira.	2
Berdintasunak ez du esan nahi berberak, berdin-berdinak edo antzekoak izatea.	Berdintasunak ez du esan nahi berdin-berdinak izatea.	0
Berdintasunak ez du esan nahi berberak, berdin-berdinak edo antzekoak izatea.	Pertsona bakarrak berdinak izan daitezke.	1
Azaldu zuenez, idealizazio boolearrak bazituen arazoak, baina aditzera eman zuen kasu askotan gene baten erantzuna ez-lineala zela bere sarrerekiko.	Idealizazio boolearra akastuna da.	0
Azaldu zuenez, idealizazio boolearrak bazituen arazoak, baina aditzera eman zuen kasu askotan gene baten erantzuna ez-lineala zela bere sarrerekiko.	Geneak beti ziren linealak beren sarrerekiko.	2
Azaldu zuenez, idealizazio boolearrak bazituen arazoak, baina aditzera eman zuen kasu askotan gene baten erantzuna ez-lineala zela bere sarrerekiko.	Atezainak badu iritzi bat idealizazio boolearrari buruz.	1
Baina, ordenagailua -batez ere Internet- gehiegi erabiltzen duten etxeetan, familiako kideek denbora gutxiago hartzen dute elkarrekin komunikatzeko eta aisialdiko jarduerez gozatzeko.	Haurrak ordenagailuen eta Interneten mendeko bihur daitezke.	1
Baina, ordenagailua -batez ere Internet- gehiegi erabiltzen duten etxeetan, familiako kideek denbora gutxiago hartzen dute elkarrekin komunikatzeko eta aisialdiko jarduerez gozatzeko.	Ordenagailuek eta Internetek familiako kideak elkarrekin gutxiago komunikatzea eragin dezakete.	0
Baina, ordenagailua -batez ere Internet- gehiegi erabiltzen duten etxeetan, familiako kideek denbora gutxiago hartzen dute elkarrekin komunikatzeko eta aisialdiko jarduerez gozatzeko.	Frogatuta dago ordenagailuek eta Internetek familia barruko komunikazioa hobetzen dutela.	2
Azkenik, emakumea eta Juan Osito, semea, gai dira hartzarengandik ihes egin eta jauregian aitarekin bizitzera joateko.	Juan Osito emakumearen semea da.	0
Azkenik, emakumea eta Juan Osito, semea, gai dira hartzarengandik ihes egin eta jauregian aitarekin bizitzera joateko.	Ez dute aitarekin bizi nahi.	2
Azkenik, emakumea eta Juan Osito, semea, gai dira hartzarengandik ihes egin eta jauregian aitarekin bizitzera joateko.	Hartzak ia harrapatu zituen.	1
Baina, orain, Maxwellek izaki ñimiño bat sortu eta asmatu du, gerora «Maxwellen deabrua» izenez ezagutuko dena.	Maxwellek bere burua gorroto zuen izaki ñimiño hura sortzeagatik.	1
Baina, orain, Maxwellek izaki ñimiño bat sortu eta asmatu du, gerora «Maxwellen deabrua» izenez ezagutuko dena.	Ez baitzen batere trebea, Maxwellek ez zuen inoiz ezer asmatu bizitza osoan.	2
Baina, orain, Maxwellek izaki ñimiño bat sortu eta asmatu du, gerora «Maxwellen deabrua» izenez ezagutuko dena.	Maxwellen deabrua Maxwellen lana eta sorkuntza da.	0
Etsiak harturik ikuspegi frogatuago eta egiazkoago baten bila gurasoen edo aitona-amonen apaletara jotzen duten gurasoek zalantza berbera izango dute.	Beren ego puztua dela eta, gurasoek ez dute inoiz amore ematen, edo beste arrastoren bat bilatzen dute.	2
Etsiak harturik ikuspegi frogatuago eta egiazkoago baten bila gurasoen edo aitona-amonen apaletara jotzen duten gurasoek zalantza berbera izango dute.	Noizean behin, guraso batzuk beren gurasoen bizitzen aldean bide hobeago bat aurkitzen saiatuko dira.	0
Etsiak harturik ikuspegi frogatuago eta egiazkoago baten bila gurasoen edo aitona-amonen apaletara jotzen duten gurasoek zalantza berbera izango dute.	Eskuliburu idatziak aitona-amonengandik gurasoengana eta haiengandik seme-alabengana iragaten dira.	1
Hala, uste dut P erreakzioaren areagotzaile alosteriko bat dela.	Uste dut P-k erreakzioari laguntzen diola, katalizatzaile batek lagunduko liokeen bezala.	0
Hala, uste dut P erreakzioaren areagotzaile alosteriko bat dela.	P-k erreakzio-abiadura bikoiztu baino gehiago egiten du.	1
Hala, uste dut P erreakzioaren areagotzaile alosteriko bat dela.	Erreakzioari P gehitzen zaionean, erreakzioa erabat gelditzen da.	2
Errabinoak ez ziren hunkitu seinale haiekin.	Gauza ziurra da errabinoek seinaleak ikusi zituztela.	0
Errabinoak ez ziren hunkitu seinale haiekin.	Errabinoek seinaleak kentzeko eskatu zuten.	1
Errabinoak ez ziren hunkitu seinale haiekin.	Errabinoak ez ziren seinaleez ohartu.	2
XVIII. mendearen amaiera, hain zuzen, garai guztiz sinplista izan zen.	Norbaitek gogoratzen du XVIII. mendearen amaiera.	0
XVIII. mendearen amaiera, hain zuzen, garai guztiz sinplista izan zen.	XVIII. mendearen amaiera bake-garaia izan zen.	1
XVIII. mendearen amaiera, hain zuzen, garai guztiz sinplista izan zen.	XVIII. mendearen amaiera konplexua izan zen.	2
Gerra amaitzea eta nazioa berriz batzea da lehenbailehen egin beharrekoa.	Gerrak badirau oraindik, baina bukatu behar luke.	0
Gerra amaitzea eta nazioa berriz batzea da lehenbailehen egin beharrekoa.	Milaka pertsona hil dira gerra honetan borrokan.	1
Gerra amaitzea eta nazioa berriz batzea da lehenbailehen egin beharrekoa.	Ziurtatu behar dugu gerrak luzaroan iraungo duela.	2
Bizkarbustien esperientziaren deskribapenak korridoetan (baladak) eta eleberrietan erregistratu eta kontatu dira.	Oso idazle ona izan behar da bizkarbustien esperientzia deskribatzeko.	1
Bizkarbustien esperientziaren deskribapenak korridoetan (baladak) eta eleberrietan erregistratu eta kontatu dira.	Eleberri batzuek bizkarbustien esperientziaren deskribapenak biltzen dituzte.	0
Bizkarbustien esperientziaren deskribapenak korridoetan (baladak) eta eleberrietan erregistratu eta kontatu dira.	Bizkarbustien esperientziaren deskribapenik ez dago idatziz bilduta.	2
Pentsatzen badugu 1787ko, 1791ko edo 1868ko mundu-ikuskerak baldintzatzen gaituela, erabaki behar genuke zer sentimenduk axola duten.	1787an ez zegoen mundu-ikuskerarik.	2
Pentsatzen badugu 1787ko, 1791ko edo 1868ko mundu-ikuskerak baldintzatzen gaituela, erabaki behar genuke zer sentimenduk axola duten.	1787an, jendeak uste zuen mundua laua zela.	1
Pentsatzen badugu 1787ko, 1791ko edo 1868ko mundu-ikuskerak baldintzatzen gaituela, erabaki behar genuke zer sentimenduk axola duten.	1787an, zenbait pentsamendu-eskola nagusitu ziren.	0
Zirkuituko epaileei dagokien eran eserita, Taney Auzitegi Goreneko presidenteak interpretatu zuen konstituzio-xedapenak Kongresuaren baimena behar zuela epailearen agindua bertan behera uzteko.	Taneyk esan zuen Kongresuak agindua geldiaraz zezakeela 10 minuturako.	1
Zirkuituko epaileei dagokien eran eserita, Taney Auzitegi Goreneko presidenteak interpretatu zuen konstituzio-xedapenak Kongresuaren baimena behar zuela epailearen agindua bertan behera uzteko.	Taneyk esan zuen Kongresuak ezin zuela agindua geldiarazi.	2
Zirkuituko epaileei dagokien eran eserita, Taney Auzitegi Goreneko presidenteak interpretatu zuen konstituzio-xedapenak Kongresuaren baimena behar zuela epailearen agindua bertan behera uzteko.	Taneyk esan zuen Kongresuak bertan behera utz zezakeela agindua.	0
Ikusten duzuenez, gene mendeldar dominantea erraz hautatzen da behin ingurumen-baldintza egokiak sortu ondoren.	Gene mendeldarra ezkutuan egon zen mendeetan, ingurumen-baldintza egokiak sortu baino lehen.	1
Ikusten duzuenez, gene mendeldar dominantea erraz hautatzen da behin ingurumen-baldintza egokiak sortu ondoren.	Ingurumen-baldintzak ez ziren beti egokiak gene mendeldar dominantearentzat.	0
Ikusten duzuenez, gene mendeldar dominantea erraz hautatzen da behin ingurumen-baldintza egokiak sortu ondoren.	Inoiz ez da ingurumen-baldintza egokirik sortu gene mendeldar dominantearentzat.	2
Txinako sukaldaritza Kubara iritsi da, eta sukaldaritza kubatar-txinatarra asmatu dute.	Txinatar sukaldariek Kubara emigratu zuten.	1
Txinako sukaldaritza Kubara iritsi da, eta sukaldaritza kubatar-txinatarra asmatu dute.	Txinatar janaria Txinan bakarrik aurkitu daiteke.	2
Txinako sukaldaritza Kubara iritsi da, eta sukaldaritza kubatar-txinatarra asmatu dute.	Badago Txinako eta Kubako sukaldaritzen arteko nahasketa bat.	0
Eta, jakina, XVIII. mendean askatasuna ulertzeko giltzarri nagusiak Konstituzioa eta Eskubideen Gutuna dira.	XVIII. mendean, inork ez zuen ulertzen askatasuna zer zen.	2
Eta, jakina, XVIII. mendean askatasuna ulertzeko giltzarri nagusiak Konstituzioa eta Eskubideen Gutuna dira.	XVIII. mendeko jendeak ulertzen zuen askatasuna zer zen.	0
Eta, jakina, XVIII. mendean askatasuna ulertzeko giltzarri nagusiak Konstituzioa eta Eskubideen Gutuna dira.	Konstituzioa hutsik dago oraindik.	1
Pertsonek ordenagailuek baino lan hobea egiten dute josteko makinekin oihalaren lerrokadura doitzeari eta aldez aurretik egindako josketa- eta ebaketa-akatsak konpontzeari dagokionez.	Denbora asko beharko da jantzigintzaren arloan ordenagailuek gizakiak ordezkatu ditzaten.	1
