premise	hypothesis	label
Langile askok ez dakite zer dagoen ondo eta zer txarto, ez dakite nola jokatu.	Langileek ez daukate zalantzarik, beti dakite nola jokatu behar duten.	2
Leku gomendagarri bat ezagutu genuen aurreko asteburuan. Famili giroan sortutako eta ukitu hego-amerikarra duen etxe multzo txiki bat da.	Aurreko asteburuan ukitu hego-amerikarra duen etxe multzo txiki batean egon ginen.	0
Leku gomendagarri bat ezagutu genuen aurreko asteburuan. Famili giroan sortutako eta ukitu hego-amerikarra duen etxe multzo txiki bat da.	Aurreko asteburuan ezagututako etxe multzo txikia izekok gomendatu zidan, familia giroan sortutakoa da eta ukitu hego-amerikarra dauka. 	1
Leku gomendagarri bat ezagutu genuen aurreko asteburuan. Famili giroan sortutako eta ukitu hego-amerikarra duen etxe multzo txiki bat da.	Aurreko asteburuan ezagututako etxe multzo txikia ez da gomendatzeko modukoa.	2
Sarituek zenbait informatika eta marrazketa material jasoko dute, eta komiki irabazlea Mahatserriko BERTON aldizkarian argitaratuko da.	Sarituek informatika eta marrazketa materiala irabaziko dute.	0
Sarituek zenbait informatika eta marrazketa material jasoko dute, eta komiki irabazlea Mahatserriko BERTON aldizkarian argitaratuko da.	Parte-hartzaile bakoitzak komiki bakarra aurkeztu ahal izango du.	1
Sarituek zenbait informatika eta marrazketa material jasoko dute, eta komiki irabazlea Mahatserriko BERTON aldizkarian argitaratuko da.	Komiki sarituak Mahatserriko BERTON aldizkarian argitaratuko dira. 	2
Azaroaren 3an kaleratuko du Zea Mays taldeak bere zortzigarren lana,'Harro' izenekoa.	Zea Mays taldeak disko berri bat argitaratuko du.	0
Azaroaren 3an kaleratuko du Zea Mays taldeak bere zortzigarren lana,'Harro' izenekoa.	Bost kidek osatzen dute Zea Mays taldea.	1
Azaroaren 3an kaleratuko du Zea Mays taldeak bere zortzigarren lana,'Harro' izenekoa.	Zea Mays taldeak ez du disko bat bera ere argitaratu.	2
Arrantzale tripulazio berdinak irabazi zuen kontxako lehen bandera Oriorako.	Oriok eskuratu zuen kontxako lehen bandera.	0
Arrantzale tripulazio berdinak irabazi zuen kontxako lehen bandera Oriorako.	Orioko tripulazioak horiz jantzi ohi da.	1
Arrantzale tripulazio berdinak irabazi zuen kontxako lehen bandera Oriorako.	Hondarribiak irabazi zuen kontxako lehen bandera.	2
Seme-alabekin izan berri naiz Erroman.	Duela gutxi Italian egon naiz.	0
Seme-alabekin izan berri naiz Erroman.	Nere seme-alabek asko maite naute.	1
Seme-alabekin izan berri naiz Erroman.	Ez naiz inoiz Italian izan.	2
"Xabier Letek idatzi eta zuzendu zuen ""Gabon, Txirrita"" antzerki obra 1982an taularatu zen."	Gabon Txirrita antzerki obra baten izena da.	0
"Xabier Letek idatzi eta zuzendu zuen ""Gabon, Txirrita"" antzerki obra 1982an taularatu zen."	Xabier Lete abeslari bikaina zen.	1
"Xabier Letek idatzi eta zuzendu zuen ""Gabon, Txirrita"" antzerki obra 1982an taularatu zen."	Xabier Letek ez zuen antzerki obrarik idatzi.	2
"Orain gutxi ""ORM Elurretako Erresuman"" pantailaratu zuen, eta aurki ""Batman Lego filma"" estreinatuko du."	Animazio-filmak euskaratu ohi dira.	0
"Orain gutxi ""ORM Elurretako Erresuman"" pantailaratu zuen, eta aurki ""Batman Lego filma"" estreinatuko du."	Geroz eta jende gutxiago joaten da filmak ikustera.	1
"Orain gutxi ""ORM Elurretako Erresuman"" pantailaratu zuen, eta aurki ""Batman Lego filma"" estreinatuko du."	ORM Elurretako Erresuman pantailaratuko den azken filma izango da.	2
Amazonek eskaintzen du adimen artifiziala eskoletarako eta hodeia eta Alexa echo dot eta Alexa echo plus.	Amazonek produktu ugari ditu adimen artifizialaren inguruan.	0
Amazonek eskaintzen du adimen artifiziala eskoletarako eta hodeia eta Alexa echo dot eta Alexa echo plus.	Amazonen produktuak merkeak izaten dira.	1
Amazonek eskaintzen du adimen artifiziala eskoletarako eta hodeia eta Alexa echo dot eta Alexa echo plus.	Eskoletara zuzendutako adimen artifizialeko produkturik ez dago.	2
Euskarari lehen hurbilketa egiteko, interesgarria da Deustuko Unibertsitateak bere garaian plazaratutako euskara ikasteko metodoa.	Deustuko Unibertsitateak metodo bat garatu du euskara ikasteko.	0
Euskarari lehen hurbilketa egiteko, interesgarria da Deustuko Unibertsitateak bere garaian plazaratutako euskara ikasteko metodoa.	Deustuko Unibertsitateak hainbat eskola eta fakultate ditu.	1
Euskarari lehen hurbilketa egiteko, interesgarria da Deustuko Unibertsitateak bere garaian plazaratutako euskara ikasteko metodoa.	Deustuko Unibertsitateak gaztelera ikasteko materiala garatu du soilik.	2
Zure euskara maila zein den jakin nahiko bazenu, horretarako aukera ere ematen du sareak.	Aukera dago norberaren euskara maila zein den neurtzeko.	0
Zure euskara maila zein den jakin nahiko bazenu, horretarako aukera ere ematen du sareak.	Euskararen erabilpen maila txikitzen ari da azken boladan.	1
Zure euskara maila zein den jakin nahiko bazenu, horretarako aukera ere ematen du sareak.	Norberaren euskara maila jakiteko elkarrizketa presentziala egin behar da nahitaez.	2
Ziurtagiriak egoitza elektronikoaren titularraren identifikazioa jasotzen du, eta dispositibo seguru baten edo bide baliokide baten bidez igortzen da.	Ziurtagiria lagun bakoitzaren identitatea bermatzen saiatzen da.	0
Ziurtagiriak egoitza elektronikoaren titularraren identifikazioa jasotzen du, eta dispositibo seguru baten edo bide baliokide baten bidez igortzen da.	Ez dago teknika bakarra titularraren identifikazioa ziurtatzeko.	1
Ziurtagiriak egoitza elektronikoaren titularraren identifikazioa jasotzen du, eta dispositibo seguru baten edo bide baliokide baten bidez igortzen da.	Ziurtagiriak titularraren informazioa gordina igortzen du, zifratu gabe.	2
Duela bi aste grazia egiten zuen zerbait gaur erabat erreta egon daiteke.	Txisteen iraupena mugatua da, ez da betirako.	0
Duela bi aste grazia egiten zuen zerbait gaur erabat erreta egon daiteke.	Lagun bati grazia egiten diona beste bati ez zaio gustatzen.	1
Duela bi aste grazia egiten zuen zerbait gaur erabat erreta egon daiteke.	Jendeari gustatzen zaio txiste berdinak behin eta berriz entzutea.	2
Instalazio modernoak ditu, doako wifia eremu komunetan, eta segurtasun-zerbitzu iraunkorra 24 orduan.	Internetera konekta zaitezke toki horretara joaten bazara.	0
Instalazio modernoak ditu, doako wifia eremu komunetan, eta segurtasun-zerbitzu iraunkorra 24 orduan.	Espazio hori alokatzea oso garestia da.	1
Instalazio modernoak ditu, doako wifia eremu komunetan, eta segurtasun-zerbitzu iraunkorra 24 orduan.	Gauean segurtasun-eza nabaria da espazio horretan.	2
Beldur pixkat pasatu dugu hilabete honetan David Robert Michellek zuzendutako 'It Follows' filmarekin.	It follows' beldurrezko filma da.	0
Beldur pixkat pasatu dugu hilabete honetan David Robert Michellek zuzendutako 'It Follows' filmarekin.	It follows' filma 'It' filmaren jarraipena da.	1
Beldur pixkat pasatu dugu hilabete honetan David Robert Michellek zuzendutako 'It Follows' filmarekin.	David Robert Michell zuzendariak komediak egiten ditu soilik.	2
Gainerako 5 eraikinek bina solairu dituzte; beheko solairuan industria-moduluak daude, eta goiko solairuan bulego-moduluak.	Eraikinak industriarako prestatuak daude.	0
Gainerako 5 eraikinek bina solairu dituzte; beheko solairuan industria-moduluak daude, eta goiko solairuan bulego-moduluak.	Eraikinak oso modernoak dira.	1
Gainerako 5 eraikinek bina solairu dituzte; beheko solairuan industria-moduluak daude, eta goiko solairuan bulego-moduluak.	Eraikin guztiek solairu bakarra dute.	2
Ea korrikalari guztiak gehiago erabiltzen dugun euskara aurrerantzean!	Korrikalari askok ez dute euskara erabiltzen.	0
Ea korrikalari guztiak gehiago erabiltzen dugun euskara aurrerantzean!	Korrika egitea osasungarria da oro har.	1
Ea korrikalari guztiak gehiago erabiltzen dugun euskara aurrerantzean!	Korrika egiten duen orok euskaraz ere egiten du.	2
Oraindik badugu iritzi publikoan eragiteko gaitasuna.	Iritzi publikoa aldatu daiteke.	0
Oraindik badugu iritzi publikoan eragiteko gaitasuna.	Jendeak askotariko iritziak ditu.	1
Oraindik badugu iritzi publikoan eragiteko gaitasuna.	Iritzi publikoa finkoa da.	2
Ikasbil webgunean milaka eta milaka artikulu, testu, bideo eta audio daude.	Interneten ezin da testu, bideo eta audiorik aurkitu.	0
Ikasbil webgunean milaka eta milaka artikulu, testu, bideo eta audio daude.	Iskanbil interneteko webgune ezaguna da.	1
Ikasbil webgunean milaka eta milaka artikulu, testu, bideo eta audio daude.	Iskanbil webgunean soilik testua dago.	2
Egoitza elektronikoaren izapideen katalogoan aurkituko duzu prozedura, izapide eta zerbitzu bakoitzari buruzko informazio zehatza.	Izapidea eta zerbitzuen funtzionamendua azaltzen duen dokumentazioa atzigarri dago.	0
Egoitza elektronikoaren izapideen katalogoan aurkituko duzu prozedura, izapide eta zerbitzu bakoitzari buruzko informazio zehatza.	Egoitza elektronikoan sartzea konplexua da oso.	1
Egoitza elektronikoaren izapideen katalogoan aurkituko duzu prozedura, izapide eta zerbitzu bakoitzari buruzko informazio zehatza.	Izapide eta zerbitzuak ikasteko ez da inolako dokumentaziorik behar.	2
Sondikako Enpresa Zentro horretan industria-moduluak eta bulego-moduluak daude, 5 eraikinetan banatuta.	Hainbat enpresek dute beren egoitza Sondikan kokatuta.	0
Sondikako Enpresa Zentro horretan industria-moduluak eta bulego-moduluak daude, 5 eraikinetan banatuta.	Sondikako Enpresa Zentroa Bizkaiko garrantzitsuenetakoa da.	1
Sondikako Enpresa Zentro horretan industria-moduluak eta bulego-moduluak daude, 5 eraikinetan banatuta.	Sondikako Enpresa Zentroak bi eraikin ditu.	2
Bost lagun gara, eta gazteena ni naiz.	Adin desberdineko lagunak gaude taldean.	0
Bost lagun gara, eta gazteena ni naiz.	Musean jolas nahiko bagenu, bostetatik bat kanpo geratuko litzateke.	1
Bost lagun gara, eta gazteena ni naiz.	Bost lagunek urte eta egun berean jaio ginen.	2
Epaileak sei hilabeteko espetxera zigortu zituen auzoko lau gazte.	Auzoan hainbat gazte daude espetxe-zigorrak jaso dituztenak.	0
Epaileak sei hilabeteko espetxera zigortu zituen auzoko lau gazte.	Espetxe zigorra bi urte baino txikiagoa denez, lau gazteak ez dira kartzelara sartuko.	1
Epaileak sei hilabeteko espetxera zigortu zituen auzoko lau gazte.	Epaileak auzoko lau gazteak absolbitu zituen.	2
Miren eta Andrearen erlazioa klandestinoa izan zen hasieratik, bikotea normatibatik at zegoelako.	Miren eta Andrea harreman sentimentala dute.	0
Miren eta Andrearen erlazioa klandestinoa izan zen hasieratik, bikotea normatibatik at zegoelako.	Erlazio homosexualak normaltasunez bizi behar dira.	1
Miren eta Andrearen erlazioa klandestinoa izan zen hasieratik, bikotea normatibatik at zegoelako.	Miren eta Andrearen erlazioa erabat arrunta izan zen.	2
Nazioarteko festibala izaki, badira kanpoko proposamenak ere, nahiz eta euskal taldeen presentzia den nagusi.	Nazioarteko taldeak jotzen dute festibal honetan.	0
Nazioarteko festibala izaki, badira kanpoko proposamenak ere, nahiz eta euskal taldeen presentzia den nagusi.	Festibalak musika zuzenean bizitzeko aukera paregabeak dira.	1
Nazioarteko festibala izaki, badira kanpoko proposamenak ere, nahiz eta euskal taldeen presentzia den nagusi.	Festibal honetan talde euskaldun bakarra jo zuen.	2
Hirugarren urtez jarraian, Santutxu Mendizale Taldeak ibilaldi neurtua antolatu du, urriaren 20rako, larunbata.	Santutxu Mendizale Taldeak mendi irteerak antolatu ohi ditu.	0
Hirugarren urtez jarraian, Santutxu Mendizale Taldeak ibilaldi neurtua antolatu du, urriaren 20rako, larunbata.	Santutxu Mendizale Taldeko ibilaldietara jende ugari azaltzen da.	1
Hirugarren urtez jarraian, Santutxu Mendizale Taldeak ibilaldi neurtua antolatu du, urriaren 20rako, larunbata.	Santutxu Mendizale Taldea iaz osatu zen.	2
R 'N' R estiloa zein hegoaldeko rocka lantzen dituen letra eta konponketa landuak dira diskokoak.	Diskoa osatzen duten kanten estilo nagusia rock dela esan daiteke.	0
R 'N' R estiloa zein hegoaldeko rocka lantzen dituen letra eta konponketa landuak dira diskokoak.	Hegoaldeko rock kantetan gitarrak dira nagusi.	1
R 'N' R estiloa zein hegoaldeko rocka lantzen dituen letra eta konponketa landuak dira diskokoak.	Diskoaren kanta guztiak instrumentalak dira.	2
Guraso batek haurrei argazkiak atera eta gonbidapen berezia prestatzen du 60 haurri banatzeko.	Haurrek gonbidapen berezia jasoko dute.	0
Guraso batek haurrei argazkiak atera eta gonbidapen berezia prestatzen du 60 haurri banatzeko.	Haurrek beti ateratzen dira ondo argazkietan.	1
Guraso batek haurrei argazkiak atera eta gonbidapen berezia prestatzen du 60 haurri banatzeko.	Guraso bati atera diote argazkia haurrek.	2
Istiluetan hamaika lagun identifikatu eta atxilotu zituen Ertzaintzak.	Ertzainak lagun asko atxilotu zituen.	0
Istiluetan hamaika lagun identifikatu eta atxilotu zituen Ertzaintzak.	Atxilotutako jende asko libre geratuko da.	1
Istiluetan hamaika lagun identifikatu eta atxilotu zituen Ertzaintzak.	Istiluetan parte hartutako lagun guztiak atxilotu zituen Ertzainak.	2
Xabier Lete musikari edo idazle izan aurretik antzerkiko aktore izan zen.	Xabier Lete hainbat arlotan ibilitako artista izan zen.	0
Xabier Lete musikari edo idazle izan aurretik antzerkiko aktore izan zen.	Xabier Leteren ahotsa oso atsegina zen.	1
Xabier Lete musikari edo idazle izan aurretik antzerkiko aktore izan zen.	Xabier Letek ez zuen inongo arlo artistikoa landu abesten hasi zen arte.	2
Azken egunean, Logroñora iristeko 3 kilometro bakarrik falta zirenean, Maria la de los Higos-en alaba ezagutu nuen.	Hainbat egun pasa nituen Logroñoko bidean.	0
Azken egunean, Logroñora iristeko 3 kilometro bakarrik falta zirenean, Maria la de los Higos-en alaba ezagutu nuen.	Maria de los Higos-en alaba oso jatorra da.	1
Azken egunean, Logroñora iristeko 3 kilometro bakarrik falta zirenean, Maria la de los Higos-en alaba ezagutu nuen.	Maria de los Higos-en semeak gizonezkoak ziren denak.	2
Ederki dakigu ni ez naizela bera bezalako hegazti eta bera ere ez dela jaioa egoteko lotuta leku bati.	Bion izaera oso desberdina da.	0
Ederki dakigu ni ez naizela bera bezalako hegazti eta bera ere ez dela jaioa egoteko lotuta leku bati.	Izaera desberdin daude, eta bata ez da bestea baino hobea.	1
Ederki dakigu ni ez naizela bera bezalako hegazti eta bera ere ez dela jaioa egoteko lotuta leku bati.	Bera nahiago du etxean geratu kanpotik bidaiatzen ibili baino.	2
Okupazio Bulegoaren laugarren urteurrena ospatuko dute urriaren 20an	Okupazio Bulegoaren urteurrena udazkenean ospatzen da.	0
Okupazio Bulegoaren laugarren urteurrena ospatuko dute urriaren 20an	Datorren urtean Donostian ospatuko dute Okupazio Bulegoaren urteurrena.	1
Okupazio Bulegoaren laugarren urteurrena ospatuko dute urriaren 20an	Okupazio Bulegoaren laugarren urteurrena ospatu zuten iaz.	2
Guraso edo tutoreek erabakita euskara izango da parte-hartzaileek erabiliko duten hizkuntza	Parte-hartzaileek euskaraz hitz egingo dutela erabaki dute guraso eta tutoreek.	0
Guraso edo tutoreek erabakita euskara izango da parte-hartzaileek erabiliko duten hizkuntza	Guraso eta tutoreek erabaki dute euskaraz hitz egingo dutela haurrekin. 	1
Guraso edo tutoreek erabakita euskara izango da parte-hartzaileek erabiliko duten hizkuntza	Guraso eta tutoreek euskaraz hitz egingo dutela erabaki dute parte-hartzaileek.	2
Lagun Arok Antiguako Benta Berriko sukurtsalean gaztelania hutsean idatzitako oharrak paratu ditu atearen bi aldeetara.	Lagun Arok Antiguako Benta Berriko sukurtsalean jarritako oharrak erdaraz idatzita zeuden.	0
Lagun Arok Antiguako Benta Berriko sukurtsalean gaztelania hutsean idatzitako oharrak paratu ditu atearen bi aldeetara.	Lagun Arok Antiguako Benta Berriko sukurtsalean jarritako oharrak ondo idatzita zeuden.	1
Lagun Arok Antiguako Benta Berriko sukurtsalean gaztelania hutsean idatzitako oharrak paratu ditu atearen bi aldeetara.	Lagun Arok Antiguako Benta Berriko sukurtsalean jarritako oharrak ingelesez idatzita zeuden.	2
Polizia guztien torturen salaketak jaso dira, Ertzaintzarenak tartean.	Ertzaintzak ere tortura egin duela salatu dute.	0
Polizia guztien torturen salaketak jaso dira, Ertzaintzarenak tartean.	Ertzaintzak polizien tortura kasuak salatu ditu.	1
Polizia guztien torturen salaketak jaso dira, Ertzaintzarenak tartean.	Ertzaintza tortura salaketetatik libre geratu da.	2
Madalenak egiteko nire ahizpak amona Jexuxaren errezeta berreskuratu nahi izan du.	Amona Jexuxak madalenak egiteko errezeta zeukan.	0
Madalenak egiteko nire ahizpak amona Jexuxaren errezeta berreskuratu nahi izan du.	Nire ahizpari bakarrik Amona Jexuxak egindako madalenak gustatzen zaizkio.	1
Madalenak egiteko nire ahizpak amona Jexuxaren errezeta berreskuratu nahi izan du.	Madalenak egiteko amona Jexuxak nire ahizparen errezeta berreskuratu nahi izan du.	2
Ez da aurrez aurreko identifikaziorik eskatzen BAK aktibatu eta igortzeko: Internet bidez egiten da.	Internet bidez eskatu dezakezu BAK aktibatu eta bidal diezazutela.	0
Ez da aurrez aurreko identifikaziorik eskatzen BAK aktibatu eta igortzeko: Internet bidez egiten da.	Internet bidez eskatu dezakezu BAK baliogabe diezazutela.	1
Ez da aurrez aurreko identifikaziorik eskatzen BAK aktibatu eta igortzeko: Internet bidez egiten da.	Internet bidez eskatu behar duzu BAK aktibatu eta bidal diezazutela.	2
Hiru argazki bakarrik gorde ahal izan ditut.	Ez dut lau argazki gordetzeko aukerarik izan.	0
Hiru argazki bakarrik gorde ahal izan ditut.	Lau argazki zituen gordeta.	1
Hiru argazki bakarrik gorde ahal izan ditut.	Lau argazki bakarrik gordeta dauzkat.	2
Larunbatean, urriaren 31ean, Beldurrezko Zinemaldiko pelikula bat ikustera joateko gonbita jaso genuen.	Beldurrezko Zinemaldiko pelikula bat ikusteko gonbidatu gintuzten.	0
Larunbatean, urriaren 31ean, Beldurrezko Zinemaldiko pelikula bat ikustera joateko gonbita jaso genuen.	Beldurrezko Zinemaldiko pelikula bat ikustera joan ginen.	1
Larunbatean, urriaren 31ean, Beldurrezko Zinemaldiko pelikula bat ikustera joateko gonbita jaso genuen.	Beldurrezko Zinemaldiko pelikula batean parte hartzeko gonbidatu gintuzten.	2
Euskadiko Kutxak berriro ere errenta-aitorpena egiteko euskararik ez dakien langile bat ipini du Antiguako Matia kaleko sukurtsalean, Donostian.	Euskadiko Kutxako Antiguako Matia kaleko sukurtsaleko errenta-aitorpena egiten laguntzen duen langilea erdaldun hutsa da.	0
Euskadiko Kutxak berriro ere errenta-aitorpena egiteko euskararik ez dakien langile bat ipini du Antiguako Matia kaleko sukurtsalean, Donostian.	Euskadiko Kutxako Antiguako Matia kaleko sukurtsaleko langileek erdaraz bakarrik hitz egiten dute.	1
Euskadiko Kutxak berriro ere errenta-aitorpena egiteko euskararik ez dakien langile bat ipini du Antiguako Matia kaleko sukurtsalean, Donostian.	Euskadiko Kutxako Antiguako Matia kaleko sukurtsaleko langileek euskaraz bakarrik hitz egiten dute.	2
Erizainen arteko umoreak eramangarriago egiten du guztia.	Erizainek bere artean bromak egiten badituzte, dena hobeto eramaten da.	0
Erizainen arteko umoreak eramangarriago egiten du guztia.	Erizainak umore onez egoteak asko laguntzen die pazienteei.	1
Erizainen arteko umoreak eramangarriago egiten du guztia.	Erizainek umorea erabiltzeko debekua dute.	2
Pandemiak erakarri dituen begi bistako kalteez gainera, gertatuak ikaragarri nabarmendu eta azaleratu ditu Europar Batasunaren ahuleziak eta, besteak beste, salatu ditu Europako berrikuntza teknologikoaren gainbehera eta lidergo industrialik eza.	Gertatutakoak garbi utzi du, pandemiak eragindako kalteez bestealde, Europar Batasuna ahula dela eta ez dela berrikuntza teknologiko eta industrialaren munduko liderra.	0
Pandemiak erakarri dituen begi bistako kalteez gainera, gertatuak ikaragarri nabarmendu eta azaleratu ditu Europar Batasunaren ahuleziak eta, besteak beste, salatu ditu Europako berrikuntza teknologikoaren gainbehera eta lidergo industrialik eza.	Gertatutakoak garbi utzi du, pandemiak eragindako kalteak direla medio, Europar Batasunak munduan berrikuntza teknologiko eta industrialaren lidergoa berreskuratu behar duela.	1
Pandemiak erakarri dituen begi bistako kalteez gainera, gertatuak ikaragarri nabarmendu eta azaleratu ditu Europar Batasunaren ahuleziak eta, besteak beste, salatu ditu Europako berrikuntza teknologikoaren gainbehera eta lidergo industrialik eza.	Gertatutakoak garbi utzi du, pandemiak eragindako kalteez gain, Europar Batasuna ahula dela baina berrikuntza teknologiko eta industrialaren munduko liderra dela.	2
Plazarik eskuratzen ez duten pertsonak itxaronzerrendan sartzen dira, zozketaren hurrenkera berean.	Plazarik lortu ezean, itxaronzerrendan sartuko zara, zozketaren ordena mantenduz.	0
Plazarik eskuratzen ez duten pertsonak itxaronzerrendan sartzen dira, zozketaren hurrenkera berean.	Plaza eskuratzen ez duten pertsonek zozketa batean parte hartzeko aukera dute.	1
Plazarik eskuratzen ez duten pertsonak itxaronzerrendan sartzen dira, zozketaren hurrenkera berean.	Plazarik eskuratzen ez baduzu, zozketa batean sartuko zara, itxaronzerrendako hurrenkera erabikitzeko.	2
Ez bagara irudikatzen, irudikatuak izango gara.	Geuk geure burua irudikatzen ez badugu, besteek irudikatuko gaituzte.	0
Ez bagara irudikatzen, irudikatuak izango gara.	Ez bagara irudikatzen, guri buruzko iritzi okerrak ugarituko dira.	1
Ez bagara irudikatzen, irudikatuak izango gara.	Ez bagara irudikatzen, guri buruzko irudikapenak existitzeari utziko dio.	2
Eusko Jaurlaritzak azpimarratu du 2003an hasi zela Ertzaintza Tratu Txarren Prebentziorako Protokoloa ezartzen atxilotuen lege-bermea indartzeko.	Ertzaintza Tratu Txarren Prebentziorako Protokoloa 2003tik dago indarrean atxilotuen eskubideak bermatzeko, Eusko Jaurlaritzaren arabera.	0
Eusko Jaurlaritzak azpimarratu du 2003an hasi zela Ertzaintza Tratu Txarren Prebentziorako Protokoloa ezartzen atxilotuen lege-bermea indartzeko.	Eusko Jaurlaritza 2003ko urtarrilean hasi zen Ertzaintza Tratu Txarren Prebentziorako Protokoloa lantzen atxilotuen lege-bermea indartzeko.	1
Eusko Jaurlaritzak azpimarratu du 2003an hasi zela Ertzaintza Tratu Txarren Prebentziorako Protokoloa ezartzen atxilotuen lege-bermea indartzeko.	Eusko Jaurlaritzaren esanetan, Ertzaintza Tratu Txarren Prebentziorako Protokoloa 2003an hasi zen ezartzen, presoen askatze prozesua arintzeko.	2
Heteropatriarkatuaren kalte-ordainak etxeetako barrunbeetan daude, eta maitasun erromantikoan eraikitako harreman afektibo-sexualak dira horien adierazpide.	Maitasun erromantikoan eraikitako harreman afektibo-sexualek frogatzen dute heteropatriarkatuaren eragina nonahi dela.	0
Heteropatriarkatuaren kalte-ordainak etxeetako barrunbeetan daude, eta maitasun erromantikoan eraikitako harreman afektibo-sexualak dira horien adierazpide.	Maitasun erromantikoan eraikitako harreman afektibo-sexualek adierazten dutena aintzat hartu behar da.	1
Heteropatriarkatuaren kalte-ordainak etxeetako barrunbeetan daude, eta maitasun erromantikoan eraikitako harreman afektibo-sexualak dira horien adierazpide.	Maitasun erromantikoan eraikitako harreman afektibo-sexualak heteropatriarkatuaren aurka borrokatzera ohituta daude.	2
Ebook-ean irakurri dudan lehen liburua izan da eta gustatu zait esperientzia	Hau ebook formatuan irakurri dudan liburu bakarra da eta atsegin zen esperientzia. 	0
Ebook-ean irakurri dudan lehen liburua izan da eta gustatu zait esperientzia	Ez nuen espero ebook-ean irakurriko nuen lehen liburua hain esperientzia polita izatea.	1
Ebook-ean irakurri dudan lehen liburua izan da eta gustatu zait esperientzia	Ebook formatuko liburu bat jada irakurri arren, gustatu zait esperientzia.	2
Masterizazio lanean oraingo honetan ere Andy Hippy Baldwin aritu da, Londreseko Metropolis estudioan.	Londreseko Metropolis estudioko Andy Hippy Baldwin-ek berriro lagundu du masterizazio lanean.	0
Masterizazio lanean oraingo honetan ere Andy Hippy Baldwin aritu da, Londreseko Metropolis estudioan.	Andy Hippy Baldwin-ek masterizazio lan guztia Londreseko Metropolis estudioan egin du.	1
Masterizazio lanean oraingo honetan ere Andy Hippy Baldwin aritu da, Londreseko Metropolis estudioan.	Masterizazio lanean lehenbizikoz aritu da Andy Hippy Baldwin, Londreseko Metropolis estudioan.	2
2018ko abenduaren 4an sozietatearen izena eta xedea aldatu zituen, bere jarduera-eremua Ibar Ezkerrera eta Txorierrira zabaltzeko asmoz.	2018ko urte bukaeran aldatu ziren sozietatearen izena eta xedea, bere ekintzak Ibar Ezkerrean eta Txorierrian ere eskaintzeko xedearekin.	0
2018ko abenduaren 4an sozietatearen izena eta xedea aldatu zituen, bere jarduera-eremua Ibar Ezkerrera eta Txorierrira zabaltzeko asmoz.	2018ko urtean sozietatearen izena eta xedea aldatzeaz gain, jarduera mota ere aldatu zuen.	1
2018ko abenduaren 4an sozietatearen izena eta xedea aldatu zituen, bere jarduera-eremua Ibar Ezkerrera eta Txorierrira zabaltzeko asmoz.	2018ko abenduaren 4an sozietatearen izena eta xedea aldatu zituen, bere jarduera-eremua Bilboko eremu guztietara hedatzeko asmoarekin. 	2
Sari banaketa honek euskaratik egindako itzulpengintza balioan jartzea du helburu.	Sari banaketa honen xedea euskaratik egiten den itzulpenen balioa goraipatzea da.	0
Sari banaketa honek euskaratik egindako itzulpengintza balioan jartzea du helburu.	Sari banaketa honen helburu bakarra euskaratik egindako itzulpengintza balioan jartzea da.	1
Sari banaketa honek euskaratik egindako itzulpengintza balioan jartzea du helburu.	Sari banaketa honek euskarara egindako itzulpengintza balioan jartzea du helburu.	2
Aspaldi sartu ginen istilu honetan eta dagoeneko ez du atzera bueltarik.	Aspalditik dugu istilu hau eta ezin dugu atzera egin.	0
Aspaldi sartu ginen istilu honetan eta dagoeneko ez du atzera bueltarik.	Aspaldi hasi ginen borrokatzen eta ez dugu irabazteko modurik.	1
Aspaldi sartu ginen istilu honetan eta dagoeneko ez du atzera bueltarik.	Orain dela gutxi sartu ginen borroka honetan eta ez du atzera bueltarik.	2
Eskubideak irabazteko legeren bat hautsi beharra dago beti.	Eskubide gehiago erdietsi nahi izanez gero, debekatuta dagoen zerbait egin behar da beti.	0
Eskubideak irabazteko legeren bat hautsi beharra dago beti.	Zenbat eta lege gehiago hautsi, orduan eta eskubide gehiago irabazi.	1
Eskubideak irabazteko legeren bat hautsi beharra dago beti.	Eskubide gehiago beti lortzen dira legeak errespetatzen badira.	2
Gidariak datu interesgarriak eman ditu eta oso entretenigarria izan da.	Gidariak eskaini dituen datu interesgarriek esperientzia entretenigarri bihurtu dute.	0
Gidariak datu interesgarriak eman ditu eta oso entretenigarria izan da.	Gidaria entretenitu da beretzat interesgarria izan diren datuak emanez.	1
Gidariak datu interesgarriak eman ditu eta oso entretenigarria izan da.	Gidariak eskainitako datuen interesa eskasekoa izan arren, esperientzia entretenigarria izan da.	2
Aspaldiko ametsa zen Praga ezagutzea.	Praga ezagutzeko gogo handia izan du denbora luzez.	0
Aspaldiko ametsa zen Praga ezagutzea.	Praga ezagutu duela amestu du.	1
Aspaldiko ametsa zen Praga ezagutzea.	Praga ezagutzen du aspalditik.	2
Euskararen munduan gabiltzanok ongi asko dakigu zein nekagarria den gure interesen defentsa.	Euskararen munduan gabiltzanok badakigu gure interesak defentatzeak nola nekatzen duen.	0
Euskararen munduan gabiltzanok ongi asko dakigu zein nekagarria den gure interesen defentsa.	Euskararen munduan gabiltzanok gure interesak defendatzeaz nekatuta gaude.	1
Euskararen munduan gabiltzanok ongi asko dakigu zein nekagarria den gure interesen defentsa.	Euskararen munduan gabiltzanok ongi pasatzen dugu gure interesak defendatuz.	2
